epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,6588.82,1.36853,1.40617,1.11869,0.6113,0.65964,0.65953,0.36085,1.70137,1.9801,1.29069,0.000239766,0.000239766,0.000239766
70,6683.01,1.35742,1.39713,1.11628,0.64404,0.60599,0.64156,0.35228,1.69953,2.03691,1.29446,0.000226769,0.000226769,0.000226769
71,6776.95,1.34522,1.38346,1.11194,0.63893,0.63857,0.64149,0.34879,1.7061,2.00202,1.29313,0.000214046,0.000214046,0.000214046
72,6871,1.33635,1.3706,1.10101,0.63209,0.65575,0.6515,0.35373,1.68929,2.00762,1.28746,0.000201611,0.000201611,0.000201611
73,6965.77,1.33295,1.3528,1.10088,0.67543,0.62662,0.65629,0.36182,1.70869,2.01868,1.29718,0.000189475,0.000189475,0.000189475
74,7060.3,1.33387,1.33258,1.10124,0.65097,0.64399,0.63993,0.35246,1.69004,2.04698,1.2863,0.000177651,0.000177651,0.000177651
75,7154.39,1.32712,1.33099,1.10081,0.67905,0.63605,0.64986,0.35379,1.71821,2.02156,1.30846,0.000166149,0.000166149,0.000166149
76,7248.54,1.31195,1.295,1.08955,0.67593,0.64475,0.65047,0.3569,1.70393,2.04363,1.29526,0.000154982,0.000154982,0.000154982
77,7343.05,1.31553,1.29615,1.0967,0.66936,0.63694,0.65167,0.35561,1.7162,2.01899,1.30347,0.000144161,0.000144161,0.000144161
78,7436.96,1.30562,1.29276,1.09213,0.69043,0.64031,0.65834,0.35641,1.71956,2.02235,1.31399,0.000133695,0.000133695,0.000133695
79,7531.21,1.2992,1.27824,1.08883,0.64124,0.66846,0.64737,0.35241,1.73099,2.05969,1.3206,0.000123596,0.000123596,0.000123596
80,7625.38,1.29426,1.26781,1.08558,0.68517,0.65178,0.64777,0.35031,1.71469,2.02514,1.31099,0.000113873,0.000113873,0.000113873
81,7720.21,1.29257,1.27022,1.08758,0.64196,0.6724,0.64272,0.35439,1.72392,2.02462,1.31768,0.000104537,0.000104537,0.000104537
82,7814.43,1.28833,1.25202,1.08316,0.65106,0.6715,0.64982,0.35596,1.71987,2.01867,1.30951,9.55951e-05,9.55951e-05,9.55951e-05
83,7908.55,1.27932,1.23891,1.08171,0.66793,0.67195,0.65507,0.35961,1.70622,2.02436,1.3053,8.70577e-05,8.70577e-05,8.70577e-05
84,8002.59,1.2712,1.23432,1.07735,0.65595,0.6441,0.64848,0.35549,1.71879,2.04454,1.31393,7.89327e-05,7.89327e-05,7.89327e-05
85,8096.75,1.26245,1.22197,1.0764,0.7015,0.61659,0.65294,0.35327,1.72986,2.03205,1.32045,7.12282e-05,7.12282e-05,7.12282e-05
86,8190.81,1.25666,1.2126,1.0688,0.7155,0.6183,0.64953,0.35309,1.73705,2.04521,1.32323,6.39518e-05,6.39518e-05,6.39518e-05
87,8285.06,1.25227,1.188,1.0707,0.65595,0.65514,0.65607,0.3561,1.72889,2.0288,1.32093,5.71106e-05,5.71106e-05,5.71106e-05
88,8379.2,1.25008,1.21104,1.06857,0.6804,0.64055,0.64825,0.35158,1.73145,2.04246,1.32026,5.07115e-05,5.07115e-05,5.07115e-05
89,8473.77,1.24415,1.19842,1.06911,0.69067,0.63091,0.64952,0.35246,1.72586,2.03127,1.31584,4.47606e-05,4.47606e-05,4.47606e-05
90,8567.89,1.2523,1.20601,1.0679,0.68192,0.63221,0.64494,0.35009,1.73796,2.02192,1.32211,3.9264e-05,3.9264e-05,3.9264e-05
91,8663.95,1.24118,1.19943,1.06639,0.66883,0.65164,0.64787,0.35023,1.73344,2.02999,1.32168,3.4227e-05,3.4227e-05,3.4227e-05
92,8759.15,1.24205,1.18823,1.06286,0.67489,0.62622,0.64773,0.34984,1.73206,2.04367,1.32219,2.96546e-05,2.96546e-05,2.96546e-05
93,8854.14,1.23594,1.19546,1.0632,0.66415,0.68289,0.65886,0.34984,1.74399,2.03569,1.32907,2.55513e-05,2.55513e-05,2.55513e-05
94,8948.76,1.24148,1.18788,1.06597,0.68822,0.64742,0.65913,0.35163,1.74126,2.0345,1.32759,2.19212e-05,2.19212e-05,2.19212e-05
95,9043.31,1.22721,1.18112,1.06187,0.68795,0.64919,0.65421,0.35303,1.73831,2.04177,1.32427,1.87678e-05,1.87678e-05,1.87678e-05
96,9138.12,1.24121,1.19065,1.06715,0.6892,0.64405,0.64833,0.35251,1.7387,2.04038,1.32468,1.60943e-05,1.60943e-05,1.60943e-05
97,9233.03,1.23407,1.17477,1.06469,0.69026,0.65425,0.65472,0.35409,1.74231,2.03216,1.32829,1.39032e-05,1.39032e-05,1.39032e-05
98,9327.73,1.23018,1.17397,1.05916,0.69645,0.65328,0.64819,0.3534,1.73163,2.04329,1.3217,1.21968e-05,1.21968e-05,1.21968e-05
99,9422.38,1.22663,1.17695,1.05923,0.69668,0.65066,0.64915,0.35303,1.73701,2.04478,1.32458,1.09768e-05,1.09768e-05,1.09768e-05
100,9516.98,1.23532,1.18698,1.06183,0.69609,0.65121,0.64675,0.35156,1.73959,2.03855,1.32472,1.02443e-05,1.02443e-05,1.02443e-05
