epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,6045.47,1.48839,1.63721,1.26945,0.59234,0.57933,0.58037,0.305,1.77589,2.37938,1.45859,0.000763797,0.000763797,0.000763797
60,6148.55,1.48844,1.62715,1.27297,0.60129,0.61155,0.6179,0.3203,1.74408,2.10776,1.41567,0.000733799,0.000733799,0.000733799
61,6251.46,1.49209,1.64831,1.27176,0.63723,0.57523,0.61992,0.32685,1.72755,2.09509,1.3982,0.000704073,0.000704073,0.000704073
62,6354.44,1.48174,1.60409,1.26082,0.60667,0.57048,0.61246,0.32313,1.73553,2.14871,1.41493,0.000674649,0.000674649,0.000674649
63,6457.63,1.47678,1.5922,1.26487,0.63044,0.57812,0.62162,0.33,1.74248,2.10635,1.41965,0.000645557,0.000645557,0.000645557
64,6560.37,1.4799,1.59676,1.25875,0.60899,0.62486,0.62646,0.33664,1.7245,2.07741,1.39725,0.000616824,0.000616824,0.000616824
65,6663.56,1.47046,1.5741,1.25712,0.62486,0.55893,0.58504,0.30637,1.75443,2.21748,1.43032,0.000588479,0.000588479,0.000588479
66,6767.1,1.46384,1.56307,1.2502,0.58784,0.64174,0.62405,0.32663,1.7399,2.1283,1.42425,0.000560549,0.000560549,0.000560549
67,6870.13,1.46808,1.54019,1.25845,0.57986,0.62431,0.60825,0.31686,1.72785,2.13018,1.41381,0.000533064,0.000533064,0.000533064
68,6973.06,1.44959,1.55401,1.24716,0.6104,0.60715,0.60798,0.32465,1.72617,2.1306,1.41155,0.000506049,0.000506049,0.000506049
69,7076.08,1.4409,1.5272,1.24122,0.60963,0.58222,0.59044,0.31559,1.74807,2.19171,1.42438,0.000479531,0.000479531,0.000479531
70,7179.51,1.44446,1.5232,1.24443,0.64628,0.61099,0.61846,0.32128,1.7338,2.11211,1.41126,0.000453537,0.000453537,0.000453537
71,7282.86,1.43249,1.5024,1.23786,0.61313,0.58265,0.60738,0.32323,1.73925,2.11991,1.40932,0.000428093,0.000428093,0.000428093
72,7386.01,1.43263,1.50233,1.23667,0.6114,0.61354,0.61852,0.3271,1.73676,2.08351,1.41401,0.000403222,0.000403222,0.000403222
73,7489.3,1.4183,1.46732,1.22248,0.62059,0.62046,0.61581,0.32944,1.70922,2.08535,1.40632,0.00037895,0.00037895,0.00037895
74,7592.05,1.41629,1.4498,1.23221,0.58515,0.65781,0.62657,0.32943,1.71325,2.07218,1.41178,0.000355301,0.000355301,0.000355301
75,7695.16,1.41,1.4425,1.22467,0.57451,0.62418,0.60638,0.32362,1.73506,2.10522,1.41979,0.000332298,0.000332298,0.000332298
76,7798.19,1.3906,1.42476,1.21309,0.6452,0.57243,0.61764,0.32501,1.71738,2.07284,1.40905,0.000309964,0.000309964,0.000309964
77,7901.23,1.39763,1.41699,1.21832,0.57877,0.66088,0.62064,0.33135,1.72262,2.06326,1.41308,0.000288321,0.000288321,0.000288321
78,8004.26,1.39522,1.4256,1.21779,0.60766,0.63583,0.61702,0.3265,1.72117,2.07085,1.41129,0.00026739,0.00026739,0.00026739
79,8107.5,1.38628,1.39868,1.2156,0.59948,0.63721,0.62447,0.33337,1.71624,2.0494,1.40664,0.000247192,0.000247192,0.000247192
80,8210.62,1.37945,1.38767,1.21047,0.61051,0.63168,0.6207,0.3285,1.72435,2.03422,1.41391,0.000227747,0.000227747,0.000227747
81,8313.58,1.37302,1.38433,1.20815,0.61525,0.62955,0.61461,0.3238,1.72733,2.06291,1.41956,0.000209073,0.000209073,0.000209073
82,8416.3,1.37101,1.39386,1.21149,0.65505,0.596,0.61934,0.32316,1.73139,2.05305,1.42,0.00019119,0.00019119,0.00019119
83,8519.27,1.36402,1.34443,1.20427,0.64047,0.62468,0.62059,0.3294,1.72752,2.05997,1.41283,0.000174115,0.000174115,0.000174115
84,8622.03,1.35482,1.35972,1.19982,0.62801,0.63224,0.62494,0.32935,1.72034,2.05242,1.41533,0.000157865,0.000157865,0.000157865
85,8724.98,1.3552,1.35077,1.19918,0.62833,0.64233,0.62651,0.33444,1.72333,2.05635,1.41432,0.000142456,0.000142456,0.000142456
86,8828.08,1.347,1.344,1.19232,0.65069,0.62297,0.62099,0.3276,1.72453,2.06317,1.41558,0.000127904,0.000127904,0.000127904
87,8930.92,1.34999,1.325,1.19653,0.64574,0.61324,0.62936,0.3313,1.72504,2.06143,1.4211,0.000114221,0.000114221,0.000114221
88,9034.08,1.34467,1.3309,1.19246,0.61234,0.63254,0.6201,0.32841,1.72672,2.07092,1.42145,0.000101423,0.000101423,0.000101423
89,9137.35,1.3444,1.32447,1.19779,0.63101,0.63616,0.6236,0.33274,1.7299,2.05491,1.42391,8.95213e-05,8.95213e-05,8.95213e-05
