epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,3503.18,1.41386,1.42898,1.13673,0.68576,0.59769,0.64552,0.34583,1.75065,2.06472,1.29731,0.000352037,0.000352037,0.000352037
62,3560.97,1.39762,1.43572,1.12552,0.59089,0.65239,0.62921,0.3397,1.75379,2.1153,1.30797,0.000337325,0.000337325,0.000337325
63,3617.09,1.39239,1.40752,1.13082,0.68674,0.62876,0.64524,0.35739,1.73878,2.06473,1.2959,0.000322778,0.000322778,0.000322778
64,3673.06,1.38635,1.40721,1.12343,0.66879,0.61935,0.64151,0.35291,1.73399,2.05507,1.29246,0.000308412,0.000308412,0.000308412
65,3728.91,1.37241,1.37919,1.12125,0.64901,0.66765,0.65312,0.35466,1.73157,2.04923,1.29941,0.000294239,0.000294239,0.000294239
66,3785.09,1.36194,1.35458,1.10697,0.61322,0.67302,0.65334,0.35215,1.74551,2.07083,1.30089,0.000280275,0.000280275,0.000280275
67,3841.43,1.35844,1.34895,1.11251,0.62861,0.64237,0.64848,0.35312,1.74323,2.05716,1.29742,0.000266532,0.000266532,0.000266532
68,3897.75,1.34725,1.3393,1.10602,0.61078,0.64641,0.63965,0.34697,1.72927,2.09575,1.29029,0.000253024,0.000253024,0.000253024
69,3953.46,1.33408,1.31333,1.09741,0.63298,0.63046,0.63505,0.34444,1.74592,2.12984,1.30251,0.000239766,0.000239766,0.000239766
70,4010.27,1.34264,1.32714,1.1034,0.66245,0.65592,0.65266,0.3471,1.73267,2.08529,1.30089,0.000226769,0.000226769,0.000226769
71,4066.61,1.32304,1.29283,1.09521,0.58861,0.65924,0.64226,0.34178,1.74237,2.06773,1.30183,0.000214046,0.000214046,0.000214046
72,4123.28,1.33292,1.29726,1.09841,0.64007,0.63026,0.64254,0.34724,1.73916,2.05878,1.30253,0.000201611,0.000201611,0.000201611
73,4179.25,1.30315,1.25265,1.08601,0.66107,0.64589,0.65,0.3457,1.7544,2.1089,1.31931,0.000189475,0.000189475,0.000189475
